GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VoteSystem,es.uniovi.asw,Application,18,3,0,0,4,1,1,1,1,1
VoteSystem,es.uniovi.asw.controller,Main,0,15,0,0,0,4,0,3,0,3
